MAX_Q: 5 | TOT_ANGS: 200
Cos(th)   cosq0   cosq1   cosq2   cosq3   cosq4   cosq5   
0.695   0.370949   0.050301   -0.0121148   -0.00155613   -0.00663378   -2.66714e-17   
0.705   0.36557   0.0496156   -0.0102861   -0.00149335   -0.00627935   1.09504e-17   
0.715   0.360367   0.0489106   -0.00851657   -0.00143056   -0.00592979   -6.39679e-18   
0.725   0.355351   0.0481851   -0.00680989   -0.00136781   -0.00558554   1.66967e-17   
0.735   0.350531   0.0474381   -0.00516974   -0.00130515   -0.00524702   1.04083e-17   
0.745   0.345921   0.0466687   -0.00359985   -0.00124264   -0.00491465   4.01155e-18   
0.755   0.34153   0.0458757   -0.00210401   -0.00118034   -0.00458889   5.42101e-18   
0.765   0.33737   0.0450579   -0.000686051   -0.00111831   -0.00427019   7.69784e-18   
0.775   0.333453   0.0442139   0.00065014   -0.00105661   -0.00395898   -9.43256e-18   
0.785   0.32979   0.0433421   0.00190062   -0.000995309   -0.00365574   2.27682e-18   
0.795   0.326392   0.0424409   0.00306141   -0.000934481   -0.00336092   8.0231e-18   
0.805   0.323273   0.0415083   0.00412846   -0.0008742   -0.003075   -1.05168e-17   
0.815   0.320444   0.0405421   0.00509768   -0.000814546   -0.00279846   1.00831e-17   
0.825   0.317918   0.03954   0.00596492   -0.000755604   -0.00253177   4.33681e-19   
0.835   0.315706   0.038499   0.006726   -0.000697466   -0.00227542   -6.07153e-18   
0.845   0.313822   0.037416   0.00737667   -0.000640228   -0.00202991   2.38524e-18   
0.855   0.312277   0.0362872   0.00791263   -0.000583997   -0.00179575   4.11997e-18   
0.865   0.311086   0.0351081   0.00832953   -0.000528886   -0.00157343   -3.57787e-18   
0.875   0.31026   0.0338736   0.00862298   -0.000475018   -0.00136347   -9.86624e-18   
0.885   0.309814   0.0325772   0.00878852   -0.000422529   -0.00116638   -2.49366e-18   
0.895   0.30976   0.0312114   0.00882167   -0.00037157   -0.000982695   6.39679e-18   
0.905   0.310112   0.0297664   0.00871785   -0.000322308   -0.000812941   6.61363e-18   
0.915   0.310884   0.0282303   0.00847247   -0.000274931   -0.000657653   -3.68629e-18   
0.925   0.312089   0.0265871   0.00808088   -0.000229658   -0.000517375   5.42101e-19   
0.935   0.313741   0.0248157   0.00753837   -0.000186739   -0.000392654   -1.07336e-17   
0.945   0.315855   0.0228863   0.00684018   -0.000146476   -0.000284044   -6.28837e-18   
0.955   0.318444   0.0207548   0.00598151   -0.00010924   -0.000192106   -3.25261e-18   
0.965   0.321524   0.0183509   0.00495749   -7.55073e-05   -0.000117404   -2.05998e-18   
0.975   0.325107   0.0155489   0.00376322   -4.59307e-05   -6.05112e-05   -1.55041e-17   
0.985   0.32921   0.0120747   0.00239373   -2.1509e-05   -2.20052e-05   9.75782e-18   
0.995   0.333847   0.00698895   0.000844022   -4.17073e-06   -2.46972e-06   -1.84314e-18   
